C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
Patients,with,Crohn's,disease,exhibited,reduced,Faecalibacterium,prausnitzii,levels,during,intestinal,inflammation,processes.,,
"['O',","O',","B-DISEASE',","I-DISEASE',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","B-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
The,antibiotic,treatment,significantly,altered,butyrate,production,and,disrupted,epithelial,cell,proliferation,mechanisms.,,
"['O',","B-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
Helicobacter,pylori,colonization,in,gastric,mucosa,triggers,chronic,inflammatory,responses,in,peptic,ulcer,patients.,
"['B-BACTERIA',","I-BACTERIA',","O',","O',","O',","O',","O',","O',","B-PROCESS',","I-PROCESS',","O',","B-DISEASE',","I-DISEASE',",O'],
,,,,,,,,,,,,,,
Researchers,identified,elevated,trimethylamine,N-oxide,concentrations,correlating,with,cardiovascular,disease,risk,factors.,,,
"['O',","O',","O',","B-CHEMICAL',","I-CHEMICAL',","O',","O',","O',","B-DISEASE',","I-DISEASE',","O',",O'],,,
,,,,,,,,,,,,,,
Multiple,sclerosis,patients,showed,distinct,cerebrospinal,fluid,metabolite,profiles,including,altered,tryptophan,catabolism.,,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","O',","O',","B-CHEMICAL',","O',","O',","O',","B-PROCESS',","I-PROCESS',]",,
,,,,,,,,,,,,,,
Clostridioides,difficile,infection,severity,increased,with,depleted,Bacteroides,fragilis,populations,in,hospitalized,patients.,,
"['B-DISEASE',","I-DISEASE',","I-DISEASE',","O',","O',","O',","O',","B-BACTERIA',","I-BACTERIA',","O',","O',","O',",O'],,
,,,,,,,,,,,,,,
The,probiotic,intervention,restored,lactate,metabolism,while,reducing,lipopolysaccharide-induced,inflammatory,cytokine,production.,,,
"['O',","B-PROCESS',","I-PROCESS',","O',","B-PROCESS',","I-PROCESS',","O',","O',","B-PROCESS',","I-PROCESS',","I-PROCESS',",O'],,,
,,,,,,,,,,,,,,
Parkinson's,disease,progression,correlated,with,decreased,Prevotella,abundance,and,impaired,dopamine,synthesis,pathways.,,
"['B-DISEASE',","I-DISEASE',","O',","O',","O',","O',","B-BACTERIA',","O',","O',","O',","B-PROCESS',","I-PROCESS',",O'],,
,,,,,,,,,,,,,,
