url,doi,pubmed_id,pmc_id,Notes,Accession Code,flag,flag_detail
https://pubmed.ncbi.nlm.nih.gov/31811045/,10.1128/AEM.02465-19,31811045,PMC6997737,,CNP0000408,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/38613799/,10.18632/aging.205728,38613799,PMC11087091,,CNP0004360,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/39735259/,10.3389/fcimb.2024.1480200,39735259,PMC11673766,,CNP0006080,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/39205654/,10.1080/19490976.2024.2390176,39205654,PMC11364073,,CRA012996,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/38724219/,10.1136/gutjnl-2024-332260,38724219,PMC11287620,,CRA014529; CRA014764; CRA014766,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
,10.1038/s41564-024-01890-9,,,,CRA019172; CRA019231; CRA019232; CRA019234; CRA019388,MULTI_CODE,Code found in full text with clear deposit/reuse wording nearby. 5 codes on this row — curator may need to identify the primary.
https://pubmed.ncbi.nlm.nih.gov/40925897/,10.1038/s41467-025-63466-3,40925897,PMC12420788,,DRA020149,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/34016052/,10.1186/s12866-021-02215-0,34016052,PMC8139087,,DRP005906; DRP007218; DRP007219; DRP007220; DRP007221; DRP007222,MULTI_CODE,Code found in full text with clear deposit/reuse wording nearby. 6 codes on this row — curator may need to identify the primary.
https://pubmed.ncbi.nlm.nih.gov/36159649/,10.3389/fcimb.2022.980157,36159649,PMC9492884,,DRP007410; PRJNA808987; SRP121389,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/40790024/,10.1038/s41467-025-62406-5,40790024,PMC12340149,,DRP012192; PRJDB18431; PRJEB28422; PRJEB6997; PRJNA289586; PRJNA832909,MULTI_CODE,Code found in full text with clear deposit/reuse wording nearby. 6 codes on this row — curator may need to identify the primary.
,10.1080/14767058.2023.2207113,,,,DRR402161-DRR402215,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/38783719/,10.4014/jmb.2402.02021,38783719,PMC11239439,,E-MTAB-11957,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36728974/,10.1249/MSS.0000000000003096,36728974,PMC9997628,,No accession,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/36909733/,10.3389/fcimb.2023.1145950,36909733,PMC9995373,,CRA009631,CLEAN,Code found in full text with clear deposit/reuse wording nearby.
https://pubmed.ncbi.nlm.nih.gov/35570486/,10.3233/JAD-220011,35570486,PMC9987476,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/36214094/,10.1177/00220345221125402,36214094,PMC9986680,[auto] N/A - no full text (publisher restricted),N/A,NO_FULLTEXT,"PMC holds metadata only; publisher does not permit full-text download. Abstract and EBI-mined annotations both checked, no accession found. Not recoverable by this pipeline. Manual lookup of the published PDF would be needed."
https://pubmed.ncbi.nlm.nih.gov/36403134/,10.1111/cas.15661,36403134,PMC9986079,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/34196794/,10.1007/s00393-021-01035-x,34196794,PMC9981501,[auto] no accession in text,N/A,NO_ACCESSION,"Full text read successfully, no accession code present in any recognised format. Either the paper genuinely has none, or it uses a repository outside our dictionary."
https://pubmed.ncbi.nlm.nih.gov/36875523/,10.3389/fcimb.2023.1013809,36875523,PMC9975506,[auto] no accession in text,N/A,NO_ACCESSION,"Full text read successfully, no accession code present in any recognised format. Either the paper genuinely has none, or it uses a repository outside our dictionary."
https://pubmed.ncbi.nlm.nih.gov/36715540/,10.1128/mbio.02663-22,36715540,PMC9973343,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
https://pubmed.ncbi.nlm.nih.gov/33788119/,10.1007/s11481-021-09993-4,33788119,PMC9969301,[auto] no accession in text,N/A,NO_ACCESSION,"Full text read successfully, no accession code present in any recognised format. Either the paper genuinely has none, or it uses a repository outside our dictionary."
https://pubmed.ncbi.nlm.nih.gov/36839184/,10.3390/nu15040826,36839184,PMC9965236,[auto] no accession in text,N/A,NO_ACCESSION,"Full text read successfully, no accession code present in any recognised format. Either the paper genuinely has none, or it uses a repository outside our dictionary."
https://pubmed.ncbi.nlm.nih.gov/36834671/,10.3390/ijms24043265,36834671,PMC9963782,[auto] available on request,N/A,ON_REQUEST,Authors state data is available on request. True floor — no accession exists to find.
https://pubmed.ncbi.nlm.nih.gov/36835017/,10.3390/ijms24043607,36835017,PMC9962333,[auto] data in article/supplement,N/A,SUPPLEMENT,"Paper states the data is in supplementary files, which we never fetched. The accession may well be in a supplementary table. THIS IS RECOVERABLE — the single largest remaining opportunity in the corpus."
