Study,Link (Use DOI or Title if missing),Title,Disease,AlphaDirection,BetaSeparation,KeyTaxa_Enriched,KeyTaxa_Depleted,TaxaExtractionSource,Tags,Notes,InGoldStandard
NiTong2025,https://pubmed.ncbi.nlm.nih.gov/39134825/,Gut Microbiota-Induced Modulation of the Central Nervous System Function in Parkinson's Disease Through the Gut-Brain Axis and Short-Chain Fatty Acids.,Parkinson’s disease (PD),Increase,Yes,"Clostridiales, bacteroidales",Enterobacterales,Main Text,,,Yes
HuWang2024,https://pubmed.ncbi.nlm.nih.gov/39512468/,Retrospective analysis of diet and gut microbiota diversity and clinical pharmacology outcomes in patients with Parkinsonism syndrome.,Parkinson’s disease (PD),Increase,Not reported,Porphyromonas; Bifidobacterium; Lactococcus; Enterobacter; Acetobacter; Oxalobacter; Lachnospira; Enterococcus; Rhodospirillum; Gemmiger; Collinsella; Butyricimonas; Alistipes; Odoribacter (all p<0.05),Mitsuokella (p<0.05),Main Text,,,Yes
KozhakhmetovKaiyrlykyzy2024,https://pubmed.ncbi.nlm.nih.gov/39346576/,Inflammatory Manifestations Associated With Gut Dysbiosis in Alzheimer's Disease.,Alzheimer’s disease (AD),No Difference,Yes,Phyllobacterium; Lactobacillus salivarius; Bacteroidia; Coriobacteriia; Erysipelotrichia; Gemmatimonadetes; Verrucomicrobiae; Cloacibacillus; Clostridia,"Rhodospirillales; Bacteroides, Bifidobacterium breve; Monoglobus",Main Text,,,Yes
KhedrAli2021,https://doi.org/10.1186/s41983-021-00407-z,Gut microbiota in Parkinson's disease patients: hospital-based study,Parkinson’s disease (PD),Not Reported,Not reported,"Clostridium cluster IV, Akkermansia, Bifidobacterium, and lactic acid bacteria",Firmicutes,Main Text,,,Yes
ChenChia2016,https://pubmed.ncbi.nlm.nih.gov/27346372/,Multiple sclerosis patients have a distinct gut microbiota compared to healthy controls.,Multiple sclerosis (MS),No Difference,Yes,"Pseudomonas (Proteobactreia), Pedobacter (Bacteroidetes), Blautia (Firmicutes), Dorea (Firmicutes), and Mycoplana (Proteobactreia)","Adlercreutzia (Actinobacteria), Collinsella (Actinobacteria), Lactobacillus (Firmicutes) and Parabacteroides (Bacteriodetes)",Main Text,,,Yes
HillBurnsDebelius2017,https://doi.org/10.1002/mds.26942,Parkinson's disease and Parkinson's disease medications have distinct signatures of the gut microbiome.,Parkinson’s disease (PD),Not Reported,Yes,"Akkermansia, Lactobacillus, Bifidobacterium",Lachnospiraceae,Main Text,,,Yes
KhedrOmeran2022,https://doi.org/10.3233/JAD-220176,Alteration of Gut Microbiota in Alzheimer’s Disease and Their Relation to the Cognitive Impairment,Alzheimer’s disease (AD),Not Reported,Not reported,"Akkermansia (AD>Ctrl, qPCR p<0.05); Enterobacteria (p<0.05); Bacteroidetes (p<0.05); Bacillus cereus (p<0.05); Prevotella (p<0.05); Clostridium cluster IV (p<0.05)",Bifidobacterium spp. (p<0.05); Firmicutes (p<0.05); Actinobacteria (p<0.05).,Main Text,,,Yes
YaoLi2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC12508004/,Multi-omics profiling reveals key microbial and metabolic variations in ischemic stroke: insights into gut and oral microbiota,Stroke,Increase,Yes,"Subdoligranulum, Streptococcus, and Limosilactobacillus were enriched in the FS group, Porphyromonas,  in the KS group compared to the KC group (P = 0.004, Q = 0.049).","Bacteroides (P < 0.001, Q < 0.001), Parabacteroides (P < 0.001, Q = 0.004), Roseburia (P < 0.001, Q = 0.007) and Holdemanella (P < 0.001, Q = 0.008)",Main Text,,,Yes
ZhuangShen2018,https://doi.org/10.3233/JAD-180176,Gut Microbiota is Altered in Patients with Alzheimer’s Disease,"Alzheimer’s disease (AD), Amyotrophic lateral sclerosis (ALS), Parkinson’s disease (PD)",Not Reported,Not reported,Actinobacteria (p<0.05); Bacilli (p<0.05); Lactobacillales (p<0.05); Ruminococcaceae (p<0.05); Enterococcaceae (p<0.05); Lactobacillaceae (p<0.05); Subdoligranulum (p<0.05).,Bacteroidetes (p=0.039); Bacteroidia (p<0.05); Negativicutes (p<0.05); Bacteroidales (p<0.05); Selenomonadales (p<0.05); Lachnospiraceae (p<0.05); Bacteroidaceae (p<0.05); Veillonellaceae (p<0.05); Lachnoclostridium (p<0.05),Main Text,,,Yes
ParaschivVacaras2024,https://pubmed.ncbi.nlm.nih.gov/38638559/,The effect of multiple sclerosis therapy on gut microbiota dysbiosis: a longitudinal prospective study.,Multiple sclerosis (MS),No Difference,No,Prevotella stercorea; Bacteroidales,Faecalibacterium; Bifidobacterium; Coprococcus; Lachnospiraceae,Main Text,,,Yes
