Study,Link (Use DOI or Title if missing),Title,Disease,AlphaDirection,BetaSeparation,KeyTaxa_Enriched,KeyTaxa_Depleted,TaxaExtractionSource,Tags,Notes,InGoldStandard
LiZhang2020,https://pubmed.ncbi.nlm.nih.gov/33312718/,Dysbiosis characteristics of gut microbiota in cerebral infarction patients,Stroke,No Difference,No,"Proteobacteria, Actinobacteria, Lactobacillus, Lactococcus, Escherichia, Shigella, Streptococcus, Collinsella, Dorea","Firmicutes, Bacteroidetes, Faecalibacterium, Subdoligranulum, Eubacterium rectale, Roseburia, Lachnoclostridium, Butyricicoccus",Main Text,,,Yes
DongLin2021,https://doi.org/10.3389/fcimb.2021.723840,Gut Microbiota and Fecal Metabolites Associated With Neurocognitive Impairment in HIV-Infected Population,Cognitive Impairment,No Difference,No,"Klebsiella, Prevotellaceae_Ga6A1","Coprococcus_2, Treponema_2, Rikenellaceae_RC9",Supplementary File fallback (Top 5),confounding disease,taxa from Supp TableS4,No
HuangWei2024,https://doi.org/10.4103/1673-5374.385846,Hemorrhagic transformation in patients with large-artery atherosclerotic stroke is associated with the gut microbiota and lipopolysaccharide,Stroke,Decrease,Yes,"Streptococcus, Fusicatenibacter, Pectobacterium, Lactobacillus_salivarius, Klebsiella","Ruminococcaceae, Acidobacteriota, Faecalibacterium, Clostridiales",Main Text,gradient/subtypes,,No
BorghiBorgo2017,https://doi.org/10.3390/ijms18020344,Rett Syndrome: A Focus on Gut Microbiota,Rett syndrome,No Difference,No,"Bacteroidaceae, Bacteroides, Clostridium",None,Main Text,,referenced Figure 5 to find p values for taxa mentioned in txt,No
FengCui2023,https://doi.org/10.1007/s40120-023-00477-6,The Alterations of Gut Microbiome and Lipid Metabolism in Patients with Spinal Muscular Atrophy,Spinal Muscular Atrophy (SMA),No Difference,No,"Gordonibacter, Ruminiclostridium, Enorma, Lawsonella,
Frisingicoccus, Anaerofilum",None,Main Text,,,No
DangZhang2021,https://doi.org/10.1155/2021/1469339,Distinctive Gut Microbiota Alteration Is Associated with Poststroke Functional Recovery: Results from a Prospective Cohort Study,Stroke,Increase,Yes,"Enterococcaceae, Lachnospiraceae, Enterobacteriaceae, Helicobacteraceae, Lachnoclostridium, Flavonifractor, Lactobacillus, Enterococcus, Enterobacter, Fusobacterium, Veillonella, Megamonas, and Escherichia","Neisseriaceae, Porphyromonadaceae, Flavobacteriaceae, Weeksellaceae, Cardiobacteriaceae, Pasteurellaceae, Blautia, Faecalibacterium, Roseburia, Fusicatenibacter, Prevotella, Ruminococcus, and Neisseria",Main Text,,LDA score> 3.5,Yes
WangMa2023,https://doi.org/10.3389/fmicb.2023.1091167,"Comparison of the effects of probiotics, rifaximin, and lactulose in the treatment of minimal hepatic encephalopathy and gut microbiota",Encephalopathy,No Difference,Yes,"Pediococcus, Selenomonas, Anaerosinus, Lactobacillus, Pseudomonas, Bifidobacterium",Barnesiella,Main Text,intervention,,No
TonomuraHattori2025,https://doi.org/10.1253/circj.cj-24-0872,Oral Pathobiont Streptococcus Anginosus Is Enriched in the Gut of Stroke Patients and Predicts 2-Year Cardiovascular Outcome,Stroke,Decrease,Not reported,Streptococcus,None,Main Text,,,No
GuoNiLi2022,https://www.frontiersin.org/articles/10.3389/fcimb.2022.827129/full,Integrated Traditional Chinese Medicine Improves Functional Outcome in Acute Ischemic Stroke: From Clinic to Mechanism Exploration With Gut Microbiota,Stroke,,Yes,"Coprococcus (p < 0.05, ITCM ↑ vs WM ↓, positively correlated with NIHSS and fire-heat score reduction); Dorea (p < 0.05, ITCM ↑ vs WM ↓, positively correlated with clinical improvement); Blautia, Streptococcus, Bifidobacterium, Lactobacillus (SCFA producers upregulated after ITCM in both enterotypes)","Clostridium (p < 0.05, negatively correlated with NIHSS improvement); Parabacteroides (p < 0.05, negatively correlated with fire-heat score improvement); Phascolarctobacterium (p < 0.05, negatively correlated with clinical recovery); Bacteroides (p < 0.05, LPS producer reduced after ITCM vs increased after WM).",Main Text,intervention,,No
MaXie2024,https://doi.org/10.1080/1028415X.2023.2242121,The gut microbial signatures of patients with lacunar cerebral infarction,Stroke,No Difference,Yes,"Streptococcus, Lactobacillus",Agathobacter,Main Text,,,Yes
