Study,Link (Use DOI or Title if missing),DOI,Title,Year,Country,Continent,SequencingType,PublicationJournal,Disease,AlphaDirection,BetaSeparation,"KeyTaxa_Enriched ↑ (Taxa1, Taxa2, etc.)",KeyTaxa_Depleted ↓,Differential Abundance Test (try Ctrl F for these),TaxaExtractionSource (Should be Main Text unless there is nothing listed),Tags (skip),Contributor,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
LiZhang2020,https://pubmed.ncbi.nlm.nih.gov/33312718/,10.1515/tnsci-2020-0117,Dysbiosis characteristics of gut microbiota in cerebral infarction patients,2020,China,Asia,16S,Translational Neuroscience,Stroke,No Difference,No,"Proteobacteria, Actinobacteria, Lactobacillus, Lactococcus, Escherichia, Shigella, Streptococcus, Collinsella, Dorea","Firmicutes, Bacteroidetes, Faecalibacterium, Subdoligranulum, Eubacterium rectale, Roseburia, Lachnoclostridium, Butyricicoccus",LEfSe (LDA),Main Text,,Emily Song,,,,,,,,,,
DongLin2021,https://doi.org/10.3389/fcimb.2021.723840,10.3389/fcimb.2021.723840,Gut Microbiota and Fecal Metabolites Associated With Neurocognitive Impairment in HIV-Infected Population,2021,China,Asia,16S,Frontiers in Cellular and Infection Microbiology,Cognitive Impairment,No Difference,No,"Klebsiella, Prevotellaceae_Ga6A1","Coprococcus_2, Treponema_2, Rikenellaceae_RC9",LEfSe (LDA),Supplementary File fallback (Top 5),confounding disease,Emily Song,taxa from Supp TableS4,,,,,,,,,
HuangWei2024,https://doi.org/10.4103/1673-5374.385846,10.4103/1673-5374.385846,Hemorrhagic transformation in patients with large-artery atherosclerotic stroke is associated with the gut microbiota and lipopolysaccharide,2024,China,Asia,16S,Neural Regeneration Research,Stroke,Decrease,Yes,"Streptococcus, Fusicatenibacter, Pectobacterium, Lactobacillus_salivarius, Klebsiella","Ruminococcaceae, Acidobacteriota, Faecalibacterium, Clostridiales",LEfSe (LDA),Main Text,gradient/subtypes,Emily Song,,,,,,,,,,
BorghiBorgo2017,https://doi.org/10.3390/ijms18020344,10.3390/ijms18020344,Rett Syndrome: A Focus on Gut Microbiota,2017,Italy,Europe,16S,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,Rett syndrome,No Difference,No,"Bacteroidaceae, Bacteroides, Clostridium",None,,Main Text,,Emily Song,referenced Figure 5 to find p values for taxa mentioned in txt,,,,,,,,,
FengCui2023,https://doi.org/10.1007/s40120-023-00477-6,10.1007/s40120-023-00477-6,The Alterations of Gut Microbiome and Lipid Metabolism in Patients with Spinal Muscular Atrophy,2023,China,Asia,16S,Neurology and Therapy,Spinal Muscular Atrophy (SMA),No Difference,No,"Gordonibacter, Ruminiclostridium, Enorma, Lawsonella,
Frisingicoccus, Anaerofilum ",None,,Main Text,,Emily Song,,,,,,,,,,
DangZhang2021,https://doi.org/10.1155/2021/1469339,10.1155/2021/1469339,Distinctive Gut Microbiota Alteration Is Associated with Poststroke Functional Recovery: Results from a Prospective Cohort Study,2021,China,Asia,16S,NEURAL PLASTICITY,Stroke,Increase,Yes,"Enterococcaceae, Lachnospiraceae, Enterobacteriaceae, Helicobacteraceae, Lachnoclostridium, Flavonifractor, Lactobacillus, Enterococcus, Enterobacter, Fusobacterium, Veillonella, Megamonas, and Escherichia","Neisseriaceae, Porphyromonadaceae, Flavobacteriaceae, Weeksellaceae, Cardiobacteriaceae, Pasteurellaceae, Blautia, Faecalibacterium, Roseburia, Fusicatenibacter, Prevotella, Ruminococcus, and Neisseria",LEfSe (LDA),Main Text,,Emily Song,LDA score> 3.5,,,,,,,,,
WangMa2023,https://doi.org/10.3389/fmicb.2023.1091167,10.3389/fmicb.2023.1091167,"Comparison of the effects of probiotics, rifaximin, and lactulose in the treatment of minimal hepatic encephalopathy and gut microbiota",2023,China,Asia,16S,FRONTIERS IN MICROBIOLOGY,Encephalopathy,No Difference,Yes,"Pediococcus, Selenomonas, Anaerosinus, Lactobacillus, Pseudomonas, Bifidobacterium",Barnesiella,DESeq,Main Text,intervention,Lynn Hee Fetcinko,,,,,,,,,,
TonomuraHattori2025,https://doi.org/10.1253/circj.cj-24-0872,10.1253/circj.CJ-24-0872,Oral Pathobiont Streptococcus Anginosus Is Enriched in the Gut of Stroke Patients and Predicts 2-Year Cardiovascular Outcome,2025,Japan,Asia,16S,CIRCULATION JOURNAL,Stroke,Decrease,Not reported,Streptococcus,None,ANCOM,Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
GuoNiLi2022,https://www.frontiersin.org/articles/10.3389/fcimb.2022.827129/full,10.3389/fcimb.2022.827129,Integrated Traditional Chinese Medicine Improves Functional Outcome in Acute Ischemic Stroke: From Clinic to Mechanism Exploration With Gut Microbiota,2022,China,Asia,16S,Frontiers in Cellular and Infection Microbiology,Stroke,,Yes,"Coprococcus (p < 0.05, ITCM ↑ vs WM ↓, positively correlated with NIHSS and fire-heat score reduction); Dorea (p < 0.05, ITCM ↑ vs WM ↓, positively correlated with clinical improvement); Blautia, Streptococcus, Bifidobacterium, Lactobacillus (SCFA producers upregulated after ITCM in both enterotypes)","Clostridium (p < 0.05, negatively correlated with NIHSS improvement); Parabacteroides (p < 0.05, negatively correlated with fire-heat score improvement); Phascolarctobacterium (p < 0.05, negatively correlated with clinical recovery); Bacteroides (p < 0.05, LPS producer reduced after ITCM vs increased after WM).",,Main Text,intervention,Emily Song,,,,,,,,,,
MaXie2024,https://doi.org/10.1080/1028415X.2023.2242121,10.1080/1028415X.2023.2242121,The gut microbial signatures of patients with lacunar cerebral infarction,2024,China,Asia,16S,NUTRITIONAL NEUROSCIENCE,Stroke,No Difference,Yes,"Streptococcus, Lactobacillus",Agathobacter,LEfSe (LDA),Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
CaoLv2025,https://doi.org/10.2147/ndt.s513364,10.2147/NDT.S513364,Altered Gut Microbiota and Plasma Metabolome Profiles Characterize Depression Individuals with Ischemic Stroke: A Comparative Analysis,2025,China,Asia,16S,NEUROPSYCHIATRIC DISEASE AND TREATMENT,Stroke,No Difference,No,"Enterobacteriaceae, Alloprevotella, ","Acidaminococcaceae, Roseburia, Fusicatenibacter",LEfSe (LDA),Main Text,confounding disease,Lynn Hee Fetcinko,,,,,,,,,,
CuiXu2023,https://doi.org/10.1111/cns.14271,10.1111/cns.14271,Changes of gut microbiota in patients at different phases of stroke,2023,China,Asia,16S,CNS NEUROSCIENCE & THERAPEUTICS,Stroke,No Difference,No,Lactobacillaceae,"Butyricimona, Peptostreptococaceae, Romboutsia ",LEfSe (LDA),Main Text,gradient/subtypes,Lynn Hee Fetcinko,,,,,,,,,,
WangBing2024,https://doi.org/10.1128/spectrum.01178-24,10.1128/spectrum.01178-24,Gut microbiota dysbiosis and neurological function recovery after intracerebral hemorrhage: an analysis of clinical samples,2024,China,Asia,16S,MICROBIOLOGY SPECTRUM,Stroke,,Yes,None,None,LEfSe (LDA),Main Text,,Lynn Hee Fetcinko,"The study does not compare the combined ICH group to the control for alpha diversity and taxa enrichment/depletion. Instead, they compare specific time points to each other and to the control.",,,,,,,,,
YongLee2023,https://doi.org/10.1038/s41598-023-27586-4,10.1038/s41598-023-27586-4,Altered gut microbiota in individuals with episodic and chronic migraine,2023,South Korea,Asia,16S,SCIENTIFIC REPORTS,Other,No Difference,No,"Tissierellales, Tissierellia, Peptoniphilaceae",None,Other,Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
YanZheng2025,https://doi.org/10.1007/s11011-025-01549-2,10.1007/s11011-025-01549-2,Altered gut microbiome and serum metabolome profiles associated with essential tremor,2025,China,Asia,16S,METABOLIC BRAIN DISEASE,Other,No Difference,Yes,Acholeplasmatales_bacterium ,"Prevotella_copri, Phocaeicola_vulgatus, Bacteroides_ovatus, Phocaeicola_dorei, Bacteroides_fragilis, Bacteroides_xylanisolvens, Bacteroides_sp._4_3_47FAA, Bacteroides_sp._3_1_40A, and Phocaeicola_coprocola ",LEfSe (LDA),Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
