Study,Link (Use DOI or Title if missing),DOI,Title,Year,Country,Continent,SequencingType,PublicationJournal,Disease,AlphaDirection,BetaSeparation,"KeyTaxa_Enriched ↑ (Taxa1, Taxa2, etc.)",KeyTaxa_Depleted ↓,Differential Abundance Test (try Ctrl F for these),TaxaExtractionSource (Should be Main Text unless there is nothing listed),Tags (skip),Contributor,Notes,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9
LiZhang2020,https://pubmed.ncbi.nlm.nih.gov/33312718/,10.1515/tnsci-2020-0117,Dysbiosis characteristics of gut microbiota in cerebral infarction patients,2020,China,Asia,16S,Translational Neuroscience,Stroke,No Difference,No,"Proteobacteria, Actinobacteria, Lactobacillus, Lactococcus, Escherichia, Shigella, Streptococcus, Collinsella, Dorea","Firmicutes, Bacteroidetes, Faecalibacterium, Subdoligranulum, Eubacterium rectale, Roseburia, Lachnoclostridium, Butyricicoccus",LEfSe (LDA),Main Text,,Emily Song,,,,,,,,,,
DangZhang2021,https://doi.org/10.1155/2021/1469339,10.1155/2021/1469339,Distinctive Gut Microbiota Alteration Is Associated with Poststroke Functional Recovery: Results from a Prospective Cohort Study,2021,China,Asia,16S,NEURAL PLASTICITY,Stroke,Increase,Yes,"Enterococcaceae, Lachnospiraceae, Enterobacteriaceae, Helicobacteraceae, Lachnoclostridium, Flavonifractor, Lactobacillus, Enterococcus, Enterobacter, Fusobacterium, Veillonella, Megamonas, and Escherichia","Neisseriaceae, Porphyromonadaceae, Flavobacteriaceae, Weeksellaceae, Cardiobacteriaceae, Pasteurellaceae, Blautia, Faecalibacterium, Roseburia, Fusicatenibacter, Prevotella, Ruminococcus, and Neisseria",LEfSe (LDA),Main Text,,Emily Song,LDA score> 3.5,,,,,,,,,
MaXie2024,https://doi.org/10.1080/1028415X.2023.2242121,10.1080/1028415X.2023.2242121,The gut microbial signatures of patients with lacunar cerebral infarction,2024,China,Asia,16S,NUTRITIONAL NEUROSCIENCE,Stroke,No Difference,Yes,"Streptococcus, Lactobacillus",Agathobacter,LEfSe (LDA),Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
YanZheng2025,https://doi.org/10.1007/s11011-025-01549-2,10.1007/s11011-025-01549-2,Altered gut microbiome and serum metabolome profiles associated with essential tremor,2025,China,Asia,16S,METABOLIC BRAIN DISEASE,Other,No Difference,Yes,Acholeplasmatales_bacterium ,"Prevotella_copri, Phocaeicola_vulgatus, Bacteroides_ovatus, Phocaeicola_dorei, Bacteroides_fragilis, Bacteroides_xylanisolvens, Bacteroides_sp._4_3_47FAA, Bacteroides_sp._3_1_40A, and Phocaeicola_coprocola ",LEfSe (LDA),Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
KhedrAli2021,https://doi.org/10.1186/s41983-021-00407-z,10.1186/s41983-021-00407-z,Gut microbiota in Parkinson's disease patients: hospital-based study,2021,Egypt,Africa,16S,EGYPTIAN JOURNAL OF NEUROLOGY PSYCHIATRY AND NEUROSURGERY,Parkinson’s disease (PD),Not Reported,Not reported,"Clostridium cluster IV, Akkermansia, Bifidobacterium, and lactic acid bacteria", Firmicutes,Other,Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
LiuMen2023,https://doi.org/10.1186/s40168-023-01638-3,10.1186/s40168-023-01638-3,Gut microbes exacerbate systemic inflammation and behavior disorders in neurologic disease CADASIL,2023,China,Asia,Both,MICROBIOME,Other,No Difference,No,"Porphyromonas, Akkermansia, Eubacterium siraeum, Akkermansia muciniphila, Fusobacterium varium, Megasphaera elsdenii, Clostridium aldenense, Bacteroides sp. OM05-12, Streptococcus sp. A12","Sutterella, Roseburia faecis, Eubacterium eligens, Sutterella parvirubra",Linear (e.g. MaAsLin),Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
ChenWu2025,https://doi.org/10.3389/fmicb.2025.1580231,10.3389/fmicb.2025.1580231,Alterations in gut microbiota and metabolomic profiles in acute stroke: insights into brain-gut axis dysregulation,2025,China,Asia,16S,FRONTIERS IN MICROBIOLOGY,Stroke,Increase,Yes,"Firmicutes, Barnesiella, Faecalibacterium, Agathobacter","Bacteroides, Escherichia-Shigella",LEfSe (LDA),Main Text,,Lynn Hee Fetcinko,,,,,,,,,,
LiuFan2023,https://doi.org/10.1016/j.msard.2023.104619,10.1016/j.msard.2023.104619,Gut microbiota dysbiosis associated with different types of demyelinating optic neuritis in patients,2023,China,Asia,16S,MULTIPLE SCLEROSIS AND RELATED DISORDERS,Other,Decrease,Yes,"Blautia, Escherichia-Shigella, Ruminococcus","Bacteroides, Faecalibacterium, Roseburia, Parabacteroides, Romboutsia, Lachnospiraceae ND3007 group, Alistipes",Other,Main Text,,Isabella Huang,,,,,,,,,,
LuoChang2024,https://doi.org/10.1016/j.heliyon.2024.e26651,10.1016/j.heliyon.2024.e26651,"Unveiling the negative association of Faecalibacterium prausnitzii with ischemic stroke severity, impaired prognosis and pro-inflammatory markers",2024,China,Asia,16S,HELIYON,Stroke,No Difference,Yes,"All AIS patients combined: Bacteroides, Enterococcus faecium; Non-minor stroke: Parabacteroids, Akkermansia, Christensenellaceae_R-7_group, Bacteroides dorei, Akkermansia muciniphila, Bacteroides caccae; 3-month poor prognosis: Enterococcus","All AIS patients combined: Clostridia, Lachnospirales, Lachnospiraceae, Ruminococcaceae, Faecalibacterium, Faecalibacterium prausnitzii; Non-minor stroke: Faecalibacterium, Blautia, Agathobacter, Subdoligranulum, Faecalibacterium prausnitzii; 3-month poor prognosis: Faecalibacterium, Blautia",LEfSe (LDA),Main Text,,Isabella Huang,,,,,,,,,,
LiChen2025,https://doi.org/10.1128/msystems.01492-24,10.1128/msystems.01492-24,Hypercoagulable state and gut microbiota dysbiosis as predictors of poor functional outcomes in acute ischemic stroke patients,2025,China,Asia,16S,MSYSTEMS,Stroke,Increase,Yes,"Parabacteroides, Oscillospira, Morganella, Megasphaera, Alistipes, Dialister","Prevotella, Roseburia, Faecalibacterium, Blautia, Coprococcus",LEfSe (LDA),Main Text,,Isabella Huang,,,,,,,,,,
