Study,Title,Disease,AlphaDirection,BetaSeparation,KeyTaxa_Enriched,KeyTaxa_Depleted,TaxaExtractionSource,Tags,Notes
LiZhang2020,Dysbiosis characteristics of gut microbiota in cerebral infarction patients,Stroke,No Difference,No,"Proteobacteria, Actinobacteria, Lactobacillus, Lactococcus, Escherichia, Shigella, Streptococcus, Collinsella, Dorea","Firmicutes, Bacteroidetes, Faecalibacterium, Subdoligranulum, Eubacterium rectale, Roseburia, Lachnoclostridium, Butyricicoccus",Main Text,,
DangZhang2021,Distinctive Gut Microbiota Alteration Is Associated with Poststroke Functional Recovery: Results from a Prospective Cohort Study,Stroke,Increase,Yes,"Enterococcaceae, Lachnospiraceae, Enterobacteriaceae, Helicobacteraceae, Lachnoclostridium, Flavonifractor, Lactobacillus, Enterococcus, Enterobacter, Fusobacterium, Veillonella, Megamonas, and Escherichia","Neisseriaceae, Porphyromonadaceae, Flavobacteriaceae, Weeksellaceae, Cardiobacteriaceae, Pasteurellaceae, Blautia, Faecalibacterium, Roseburia, Fusicatenibacter, Prevotella, Ruminococcus, and Neisseria",Main Text,,LDA score> 3.5
MaXie2024,The gut microbial signatures of patients with lacunar cerebral infarction,Stroke,No Difference,Yes,"Streptococcus, Lactobacillus",Agathobacter,Main Text,,
YanZheng2025,Altered gut microbiome and serum metabolome profiles associated with essential tremor,Other,No Difference,Yes,Acholeplasmatales_bacterium,"Prevotella_copri, Phocaeicola_vulgatus, Bacteroides_ovatus, Phocaeicola_dorei, Bacteroides_fragilis, Bacteroides_xylanisolvens, Bacteroides_sp._4_3_47FAA, Bacteroides_sp._3_1_40A, and Phocaeicola_coprocola",Main Text,,
KhedrAli2021,Gut microbiota in Parkinson's disease patients: hospital-based study,Parkinson’s disease (PD),Not Reported,Not reported,"Clostridium cluster IV, Akkermansia, Bifidobacterium, and lactic acid bacteria",Firmicutes,Main Text,,
LiuMen2023,Gut microbes exacerbate systemic inflammation and behavior disorders in neurologic disease CADASIL,Other,No Difference,No,"Porphyromonas, Akkermansia, Eubacterium siraeum, Akkermansia muciniphila, Fusobacterium varium, Megasphaera elsdenii, Clostridium aldenense, Bacteroides sp. OM05-12, Streptococcus sp. A12","Sutterella, Roseburia faecis, Eubacterium eligens, Sutterella parvirubra",Main Text,,
ChenWu2025,Alterations in gut microbiota and metabolomic profiles in acute stroke: insights into brain-gut axis dysregulation,Stroke,Increase,Yes,"Firmicutes, Barnesiella, Faecalibacterium, Agathobacter","Bacteroides, Escherichia-Shigella",Main Text,,
LiuFan2023,Gut microbiota dysbiosis associated with different types of demyelinating optic neuritis in patients,Other,Decrease,Yes,"Blautia, Escherichia-Shigella, Ruminococcus","Bacteroides, Faecalibacterium, Roseburia, Parabacteroides, Romboutsia, Lachnospiraceae ND3007 group, Alistipes",Main Text,,
LuoChang2024,"Unveiling the negative association of Faecalibacterium prausnitzii with ischemic stroke severity, impaired prognosis and pro-inflammatory markers",Stroke,No Difference,Yes,"All AIS patients combined: Bacteroides, Enterococcus faecium; Non-minor stroke: Parabacteroids, Akkermansia, Christensenellaceae_R-7_group, Bacteroides dorei, Akkermansia muciniphila, Bacteroides caccae; 3-month poor prognosis: Enterococcus","All AIS patients combined: Clostridia, Lachnospirales, Lachnospiraceae, Ruminococcaceae, Faecalibacterium, Faecalibacterium prausnitzii; Non-minor stroke: Faecalibacterium, Blautia, Agathobacter, Subdoligranulum, Faecalibacterium prausnitzii; 3-month poor prognosis: Faecalibacterium, Blautia",Main Text,,
LiChen2025,Hypercoagulable state and gut microbiota dysbiosis as predictors of poor functional outcomes in acute ischemic stroke patients,Stroke,Increase,Yes,"Parabacteroides, Oscillospira, Morganella, Megasphaera, Alistipes, Dialister","Prevotella, Roseburia, Faecalibacterium, Blautia, Coprococcus",Main Text,,
ZhangWang2022,"Combination effect between gut microbiota and traditional potentially modifiable risk factors for first-ever ischemic stroke in Tujia, Miao and Han populations in China",Stroke,Not Reported,Yes,"All IS combined: Bacilli, Gammaproteobacteria, Lactobacillaceae, Streptococcaceae, Enterobacteriaceae; Tujia only: Bacilli, Gammaproteobacteria, Actinobacteria, Rubrobacteria, Coriobacteria, Lactobacillaceae, Streptococcaceae, Enterobacteriaceae; Miao only: Bacilli, Lactobacillaceae, Streptococcaceae; Han only: Bacilli, Gammaproteobacteria, Enterococcaceae, Lactobacillaceae, Enterococcaceae, Enterobacteriaceae","All IS combined: Clostridia, Lachnospiraceae, Ruminococcaceae; Tujia only: Clostridia, Ruminococcaceae; Han only: Clostridia, Ruminococcaceae",Main Text,,
ZhaLiu2025,Microbiota-derived lysophosphatidylcholine alleviates Alzheimer's disease pathology via suppressing ferroptosis.,Alzheimer’s disease (AD),Not Reported,Not reported,Firmicutes,"Bacteroidetes, Bacteroides, Bacteroides ovatus",Main Text,,
FerreiroChoi2023,Gut microbiome composition may be an indicator of preclinical Alzheimer's disease.,Alzheimer’s disease (AD),No Difference,Yes,"Dorea formicigenerans, Oscillibacter sp. 57_20, Faecalibacterium prausnitzii, Coprococcus catus, Anaerostipes hadrus, Ruminococcus lactaris, Methanobrevibacter smithii",Methanosphaera stadtmanae,Main Text,,
VogtKerby2017,Gut microbiome alterations in Alzheimer's disease.,"Alzheimer’s disease (AD), Dementia",Decrease,Yes,"Bacteroidetes, Gemellaceae, Blautia, Phascolarctobacterium, Gemella, Bacteroidaceae, Rikenellaceae, Bacteroides, Alistipes, Bilophila","Firmicutes, Actinobacteria, Ruminococcaceae, Turicibacteraceae, Peptostreptococcaceae, Clostridiaceae, Mogibacteriaceae, SMB53 (family Clostridiaceae), Dialister, Clostridium, Turicibacter, cc115 (family Erysipelotrichaceae), Bifidobacteriaceae, Bifidobacterium, Adlercreutzia",Main Text,,
GrabruckerMarizzoni2023,Microbiota from Alzheimer's patients induce deficits in cognition and hippocampal neurogenesis.,Alzheimer’s disease (AD),No Difference,No,"Bacteroidetes, Desulfovibrio","Firmicutes, Verruocomicrobiota, Clostridium sensu stricto 1, Coprococcus",Main Text,,
YoonGerdes2025,Multiple sclerosis and gut microbiota: Lachnospiraceae from the ileum of MS twins trigger MS-like disease in germfree transgenic mice-An unbiased functional study.,Multiple sclerosis (MS),No Difference,No,"Alistipes ihumii, Copromonas, Acutalibacter, Anaerotruncus massiliensis, Eisenbergiella tayi, Anaerotruncus colihominis","Dialister succinatiphilus, Prevotella buccae",Main Text,,
