doi,paper_title,taxon,model_says,gold_says,agree?,notes
10.3389/fcimb.2022.942460,A comparison of the composition and functions of the oral and gut microbiotas in Alzheimer’s patients,proteobacteria,depleted,enriched,,
10.1128/msphere.00590-24,Alterations of fecal microbiota and plasma metabolome in patients with Parkinson's disease with rapid eye movement sleep disorder.,fusobacterium,enriched,depleted,,
10.1038/s41598-023-27586-4,Altered gut microbiota in individuals with episodic and chronic migraine,catenibacterium,enriched,depleted,,
10.1186/s13195-025-01769-9,Compositional and functional gut microbiota alterations in mild cognitive impairment: links to Alzheimer's disease pathology.,bacteroides intestinalis,enriched,depleted,,
10.1186/s13195-025-01769-9,Compositional and functional gut microbiota alterations in mild cognitive impairment: links to Alzheimer's disease pathology.,fusicatenibacter saccharivorans,enriched,depleted,,
10.1186/s13195-025-01769-9,Compositional and functional gut microbiota alterations in mild cognitive impairment: links to Alzheimer's disease pathology.,bifidobacterium pseudocatenulatum,enriched,depleted,,
10.1038/s41531-022-00395-8,Fecal microbiome alterations in treatment-naive de novo Parkinson's disease.,christensenellaceae,enriched,depleted,,
10.3389/fneur.2020.00137,Gut Microbiota Altered in Mild Cognitive Impairment Compared With Normal Cognition in Sporadic Parkinson's Disease.,ruminococcus,depleted,enriched,,
10.3390/ijms241915024,"Multiple Sclerosis-Associated Gut Microbiome in the Israeli Diverse Populations: Associations with Ethnicity, Gender, Disability Status, Vitamin D Levels, and Mediterranean Diet.",tyzzerella 4,enriched,depleted,,
10.3389/fnagi.2022.881872,Nutritional Intake and Gut Microbiome Composition Predict Parkinson's Disease.,candidatus soleaferre,depleted,enriched,,
10.3389/fnagi.2022.881872,Nutritional Intake and Gut Microbiome Composition Predict Parkinson's Disease.,faecalibacterium sp. uba1819,depleted,enriched,,
10.1038/s41598-022-19393-0,Study of gut microbiota alterations in Alzheimer's dementia patients from Kazakhstan.,actinobacteria,enriched,depleted,,
10.1038/s41380-023-02216-7,Transmission of Alzheimer's disease-associated microbiota dysbiosis and its impact on cognitive function: evidence from mice and patients.,bilophila wadsworthia,enriched,depleted,,
10.1038/s41380-023-02216-7,Transmission of Alzheimer's disease-associated microbiota dysbiosis and its impact on cognitive function: evidence from mice and patients.,parabacteroides distasonis,enriched,depleted,,
10.1371/journal.pone.0276598,Uncovering the characteristics of the gut microbiota in patients with acute ischemic stroke and phlegm-heat syndrome,olsenella,depleted,enriched,,
