S.No	disease_name	microbe_scientific_name	tax_rank_name	microbe_ncbi_tax_id	experimental_method_name	samples_origin_name	relationship_name	subjects_number	subjects_group_one	subjects_group_two	mean_age_group_one	mean_age_group_two	males_number	females_number	group_one	group_two	disease_type_name	disease_subtype	disease_mesh_id	disease_mesh_heading	host_species_name	publication_PMID	publication_doi	publication_first_author	publication_corresponding_author_mail	publication_title	publication_journal	publication_year	comments	microbe_com_contaminant
1	Ulcerative Colitis	Spirochaetes	Phylum	203691	16S rRNA sequencing	Tongue brushings	Increased	74	31	43	14	14	37	37	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	21987382	10.1002/ibd.21874	Docktor MJ	Michael.docktor@childrens.harvard.edu	Alterations in diversity of the oral microbiome in pediatric inflammatory bowel disease	Inflammatory Bowel Diseases	2012	null	false
2	Mouth Neoplasms	Actinomyces	Genus	1654	Microbiological culture	Oral swab	Increased	21	21	21	53	53	20	1	Oral cancer	Normal adjacent	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	9813727	https://doi.org/10.1016/S1368-8375(98)80012-2	K.N. Nagy	nagynk@stoma.szote.u-szeged.hu	The microflora associated with human oral carcinomas	Oral Oncology	1998	null	true
3	Mouth Neoplasms	Clostridium	Genus	1485	Microbiological culture	Oral swab	Increased	21	21	21	53	53	20	1	Oral cancer	Normal adjacent	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	9813727	https://doi.org/10.1016/S1368-8375(98)80012-2	K.N. Nagy	nagynk@stoma.szote.u-szeged.hu	The microflora associated with human oral carcinomas	Oral Oncology	1998	null	true
4	Mouth Neoplasms	Enterobacteriaceae	Family	543	Microbiological culture	Oral swab	Increased	21	21	21	53	53	20	1	Oral cancer	Normal adjacent	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	9813727	https://doi.org/10.1016/S1368-8375(98)80012-2	K.N. Nagy	nagynk@stoma.szote.u-szeged.hu	The microflora associated with human oral carcinomas	Oral Oncology	1998	null	false
5	Mouth Neoplasms	Fusobacterium	Genus	848	Microbiological culture	Oral swab	Increased	21	21	21	53	53	20	1	Oral cancer	Normal adjacent	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	9813727	https://doi.org/10.1016/S1368-8375(98)80012-2	K.N. Nagy	nagynk@stoma.szote.u-szeged.hu	The microflora associated with human oral carcinomas	Oral Oncology	1998	null	true
6	Mouth Neoplasms	Haemophilus	Genus	724	Microbiological culture	Oral swab	Increased	21	21	21	53	53	20	1	Oral cancer	Normal adjacent	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	9813727	https://doi.org/10.1016/S1368-8375(98)80012-2	K.N. Nagy	nagynk@stoma.szote.u-szeged.hu	The microflora associated with human oral carcinomas	Oral Oncology	1998	null	true
7	Mouth Neoplasms	Porphyromonas	Genus	836	Microbiological culture	Oral swab	Increased	21	21	21	53	53	20	1	Oral cancer	Normal adjacent	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	9813727	https://doi.org/10.1016/S1368-8375(98)80012-2	K.N. Nagy	nagynk@stoma.szote.u-szeged.hu	The microflora associated with human oral carcinomas	Oral Oncology	1998	null	true
8	Mouth Neoplasms	Prevotella	Genus	838	Microbiological culture	Oral swab	Increased	21	21	21	53	53	20	1	Oral cancer	Normal adjacent	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	9813727	https://doi.org/10.1016/S1368-8375(98)80012-2	K.N. Nagy	nagynk@stoma.szote.u-szeged.hu	The microflora associated with human oral carcinomas	Oral Oncology	1998	null	true
9	Mouth Neoplasms	Streptococcus	Genus	1301	Microbiological culture	Oral swab	Increased	21	21	21	53	53	20	1	Oral cancer	Normal adjacent	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	9813727	https://doi.org/10.1016/S1368-8375(98)80012-2	K.N. Nagy	nagynk@stoma.szote.u-szeged.hu	The microflora associated with human oral carcinomas	Oral Oncology	1998	null	true
10	Mouth Neoplasms	Veillonella	Genus	29465	Microbiological culture	Oral swab	Increased	21	21	21	53	53	20	1	Oral cancer	Normal adjacent	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	9813727	https://doi.org/10.1016/S1368-8375(98)80012-2	K.N. Nagy	nagynk@stoma.szote.u-szeged.hu	The microflora associated with human oral carcinomas	Oral Oncology	1998	null	true
11	Ulcerative Colitis	Fusobacterium varium	Species	856	Immunohistochemical staining	Colon mucosa tissue	Increased	20	10	10	36	null	14	6	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	12164960	10.1046/j.1440-1746.2002.02834.x	Ohkusa T	nsato@med.juntendo.ac.jp	Fusobacterium varium localized in the colonic mucosa of patients with ulcerative colitis stimulates species-specific antibody	Journal of Gastroenterology and Hepatology	2002	null	false
12	Ulcerative Colitis	Fusobacterium varium	Species	856	Western blot	Serum	Increased	62	31	31	32	null	42	20	Ulcerative Colitis	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003093	Ulcerative Colitis	Homo sapiens	12164960	10.1046/j.1440-1746.2002.02834.x	Ohkusa T	nsato@med.juntendo.ac.jp	Fusobacterium varium localized in the colonic mucosa of patients with ulcerative colitis stimulates species-specific antibody	Journal of Gastroenterology and Hepatology	2002	null	false
13	Crohn Disease	Escherichia coli	Species	562	Nested PCR	Granuloma	Increased	25	15	10	null	null	null	null	Crohn Disease	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D003424	Crohn Disease	Homo sapiens	15307874	10.1111/j.1572-0241.2004.40103.x	Paul Ryan	null	Bacterial DNA Within Granulomas of Patients With Crohn's Disease--Detection by Laser Capture Microdissection and PCR	The American Journal of Gastroenterology	2004	Granulomas were obtained from both cases and control samples	false
14	Irritable Bowel Syndrome	Veillonella sp.	Species	1926307	qRT-PCR	Stool	Increased	31	9	22	null	null	null	null	Irritable Bowel Syndrome	Healthy Controls	Gastrointestinal Disorders	undefined	MESH:D043183	Irritable Bowel Syndrome	Homo sapiens	15667495	10.1111/j.1572-0241.2005.40312.x	Erja Malinen	null	Analysis of the Fecal Microbiota of Irritable Bowel Syndrome Patients and Healthy Controls With Real-Time PCR	The American Journal of Gastroenterology	2005	the IBS group consists of patients  with symptoms of constipation	false
15	Mouth Neoplasms	Capnocytophaga gingivalis	Species	1017	Checkerboard DNA-DNA hybridization	Saliva	Increased	274	45	229	57.6	42.06	139	135	Oral Cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
16	Mouth Neoplasms	Capnocytophaga gingivalis	Species	1017	Checkerboard DNA-DNA hybridization	Saliva	Increased	274	45	229	57.6	42.06	139	135	Oral cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
17	Mouth Neoplasms	Capnocytophaga ochracea	Species	1018	Checkerboard DNA-DNA hybridization	Saliva	Increased	274	45	229	57.6	42.06	139	135	Oral Cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
18	Mouth Neoplasms	Capnocytophaga ochracea	Species	1018	Checkerboard DNA-DNA hybridization	Saliva	Increased	274	45	229	57.6	42.06	139	135	Oral cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
19	Mouth Neoplasms	Lachnoanaerobaculum saburreum	Species	467210	Checkerboard DNA-DNA hybridization	Saliva	Decreased	274	45	229	57.6	42.06	139	135	Oral Cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
20	Mouth Neoplasms	Lachnoanaerobaculum saburreum	Species	467210	Checkerboard DNA-DNA hybridization	Saliva	Decreased	274	45	229	57.6	42.06	139	135	Oral cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
21	Mouth Neoplasms	Leptotrichia buccalis	Species	40542	Checkerboard DNA-DNA hybridization	Saliva	Decreased	274	45	229	57.6	42.06	139	135	Oral Cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
22	Mouth Neoplasms	Leptotrichia buccalis	Species	40542	Checkerboard DNA-DNA hybridization	Saliva	Decreased	274	45	229	57.6	42.06	139	135	Oral cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
23	Mouth Neoplasms	Prevotella melaninogenica	Species	28132	Checkerboard DNA-DNA hybridization	Saliva	Increased	274	45	229	57.6	42.06	139	135	Oral Cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
24	Mouth Neoplasms	Prevotella melaninogenica	Species	28132	Checkerboard DNA-DNA hybridization	Saliva	Increased	274	45	229	57.6	42.06	139	135	Oral cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
25	Mouth Neoplasms	Streptococcus mitis	Species	28037	Checkerboard DNA-DNA hybridization	Saliva	Increased	274	45	229	57.6	42.06	139	135	Oral cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
26	Mouth Neoplasms	Streptococcus mitis	Species	28037	Checkerboard DNA-DNA hybridization	Saliva	Increased	274	45	229	57.6	42.06	139	135	Oral Cancer	Healthy Controls	Cancers	undefined	MESH:D009062	Mouth neoplasms	Homo sapiens	15987522	10.1186/1479-5876-3-27	DL Mager	dmager@forsyth.org	The salivary microbiota as a diagnostic indicator of oral cancer: a descriptive, non-randomized study of cancer-free and oral squamous cell carcinoma subjects	Journal of Translational Medicine	2005	null	false
